Name,Description,Source Organization,Source,Sample/Representative Date,Region/Regional Scope,Other,"Composition, Parameters/Conditions",Valid until,PCR title & Number,Functional Unit,Excluded Lifecycle Stages,Environmental Parameters/Impact Categories Included,HS Codes,Date Published,Unit,Value,Link to EPD,Registration/ID Number,Components,Equation,Primary Product,Industry Tags
Fuel oil - Exports,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",75.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Transformation,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",3800.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Consumption in agriculture, forestry and fishing",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",2.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Consumption not elsewhere specified (other),Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",160.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Own use by oil refineries,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1090.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Consumption by other,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",120.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Total energy supply,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",6080.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Final consumption,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1545.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Stock changes,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",0.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Transformation in electricity, CHP and heat plants",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",3600.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Energy industries own use,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1090.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Consumption by iron and steel,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",202.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Consumption by other manuf., const. and non-fuel ind.",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1050.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Production,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",5400.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Imports,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",755.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Own use by oil refineries,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1040.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Consumption by manufacturing, construction and non-fuel industry",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1320.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Consumption in agriculture, forestry and fishing",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",2.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Total energy supply,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",6435.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Final consumption,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1440.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - production from refineries,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",5900.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Imports,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",660.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Exports,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",125.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Stock changes,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",0.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Energy industries own use,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1040.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Final energy consumption,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1440.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Final energy consumption,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1545.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Consumption by other manuf., const. and non-fuel ind.",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1020.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Consumption by other,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",162.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Consumption not elsewhere specified (other),Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",118.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - production from refineries,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",5400.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Transformation,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",3600.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Production,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",5900.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Transformation in electricity, CHP and heat plants",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",3800.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Consumption by manufacturing, construction and non-fuel industry",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1383.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Consumption by iron and steel,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",223.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Consumption by chemical and petrochemical,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",98.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Consumption by chemical and petrochemical,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",110.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
